Model_Year,Make,Model,Vehicle Class,Motor_(kW),Transmission,Fuel_Type,Range_(km),terminal_voltage,terminal_current,temperature,charge_current,charge_voltage,time,capacity,cycle,SOH
2012,Mitsubishi,i-MiEV,Subcompact,49,A1,B,100,4.191491808,-0.004901589,24.33003389,-0.0006,0,0,1.856487421,1,0.928243711
2012,Nissan,LEAF,Mid-size,80,A1,B,117,4.190749068,-0.001478006,24.32599342,-0.0006,4.206,16.781,1.856487421,1,0.928243711
2013,Ford,Focus Electric,Compact,107,A1,B,122,3.974870912,-2.012528324,24.38908513,-1.9982,3.062,35.703,1.856487421,1,0.928243711
2013,Mitsubishi,i-MiEV,Subcompact,49,A1,B,100,3.951716708,-2.013979362,24.54475232,-1.9982,3.03,53.781,1.856487421,1,0.928243711
2013,Nissan,LEAF,Mid-size,80,A1,B,117,4.189773214,2.13E-05,24.69775194,-0.0006,0,0,1.84632725,2,0.923163625
2013,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,109,4.18888138,-0.000879471,24.68594816,-0.0006,4.204,16.672,1.84632725,2,0.923163625
2013,smart,fortwo electric drive coupe,Two-seater,35,A1,B,109,3.979156705,-2.014654031,24.73813208,-1.9984,3.056,35.703,1.84632725,2,0.923163625
2013,Tesla,Model S (40 kWh),Full-size,225,A1,B,224,4.187198338,-0.001791648,24.74050015,-0.0006,4.203,16.797,1.835349194,3,0.917674597
2013,Tesla,Model S (60 kWh),Full-size,225,A1,B,335,3.979994938,-2.015479071,24.79144998,-1.9982,3.055,35.766,1.835349194,3,0.917674597
2013,Tesla,Model S (85 kWh),Full-size,270,A1,B,426,3.958170314,-2.014815022,24.94295964,-1.9982,3.023,53.891,1.835349194,3,0.917674597
2013,Tesla,Model S Performance,Full-size,310,A1,B,426,3.526904572,-2.011469332,32.9757397,-1.9984,2.592,1872.625,1.835262528,4,0.917631264
2014,Chevrolet,Spark EV,Subcompact,104,A1,B,131,3.524647034,-2.012191054,33.01788126,-1.9982,2.589,1891.375,1.835262528,4,0.917631264
2014,Ford,Focus Electric,Compact,107,A1,B,122,3.522311706,-2.010756825,33.05835416,-1.9982,2.587,1910.11,1.835262528,4,0.917631264
2014,Mitsubishi,i-MiEV,Subcompact,49,A1,B,100,3.804859788,-2.014845996,28.25196686,-1.9982,2.86,435.406,1.83566166,6,0.91783083
2014,Nissan,LEAF,Mid-size,80,A1,B,135,3.79983303,-2.012972151,28.39237053,-1.9982,2.855,453.61,1.83566166,6,0.91783083
2014,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,109,3.857193669,-2.009721134,26.71550537,-1.9982,2.911,272.016,1.824619553,11,0.912309777
2014,smart,fortwo electric drive coupe,Two-seater,35,A1,B,109,3.85090507,-2.013736231,26.88341281,-1.9982,2.906,290.234,1.824619553,11,0.912309777
2014,Tesla,Model S (60 kWh),Full-size,225,A1,B,335,3.845486599,-2.011207798,27.03726805,-1.9982,2.899,308.391,1.824619553,11,0.912309777
2014,Tesla,Model S (85 kWh),Full-size,270,A1,B,426,3.832460826,-2.014018816,27.7915023,-1.9982,2.883,362.953,1.814201936,12,0.907100968
2014,Tesla,Model S Performance,Full-size,310,A1,B,426,3.827452009,-2.011749844,27.93158531,-1.9982,2.878,381.078,1.814201936,12,0.907100968
2015,BMW,i3,Subcompact,125,A1,B,130,3.82254229,-2.013472984,28.07701115,-1.9982,2.873,399.203,1.814201936,12,0.907100968
2015,Chevrolet,Spark EV,Subcompact,104,A1,B,131,3.817368012,-2.014333672,28.22973876,-1.9982,2.869,417.438,1.814201936,12,0.907100968
2015,Ford,Focus Electric,Compact,107,A1,B,122,3.951761092,-2.011134804,25.10039775,-1.9982,3.011,71.938,1.813752158,13,0.906876079
2015,Kia,Soul EV,Station wagon: Small,81,A1,B,149,3.938949848,-2.011383158,25.28291979,-1.9982,2.996,90.094,1.813752158,13,0.906876079
2015,Mitsubishi,i-MiEV,Subcompact,49,A1,B,100,3.92765041,-2.012381067,25.45769671,-1.9982,2.985,108.281,1.813752158,13,0.906876079
2015,Nissan,LEAF,Mid-size,80,A1,B,135,3.253030718,0.00037991,36.16954694,-0.0006,0,3449.844,1.813440491,14,0.906720246
2015,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,109,3.264855084,-0.002505993,35.8696097,-0.0006,0,3470,1.813440491,14,0.906720246
2015,smart,fortwo electric drive coupe,Two-seater,35,A1,B,109,3.722123086,-2.012373099,29.79920645,-1.9982,2.785,781.438,1.802598004,15,0.901299002
2015,Tesla,Model S (60 kWh),Full-size,285,A1,B,335,3.717978279,-2.014702091,29.82686858,-1.9982,2.781,799.797,1.802598004,15,0.901299002
2015,Tesla,Model S (70 kWh),Full-size,285,A1,B,377,3.713835484,-2.014640843,29.86799319,-1.9982,2.777,818.125,1.802598004,15,0.901299002
2015,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,426,3.6966264,-2.011903013,29.90685036,-1.9982,2.755,892.219,1.802579501,17,0.901289751
2015,Tesla,Model S 70D,Full-size,280,A1,B,386,3.692629522,-2.012894479,29.94297337,-1.9982,2.752,910.625,1.802579501,17,0.901289751
2015,Tesla,Model S 85D/90D,Full-size,280,A1,B,435,3.688496511,-2.012455667,29.99099034,-1.9982,2.748,928.813,1.802579501,17,0.901289751
2015,Tesla,Model S P85D/P90D,Full-size,515,A1,B,407,3.684865264,-2.012805965,30.03431223,-1.9982,2.745,947.078,1.802579501,17,0.901289751
2016,BMW,i3,Subcompact,125,A1,B,130,3.508000393,-2.013610924,33.41007582,-1.9984,2.568,2098,1.847025995,20,0.923512998
2016,Chevrolet,Spark EV,Subcompact,104,A1,B,131,3.506078495,-2.010767193,33.44523129,-1.9982,2.567,2116.812,1.847025995,20,0.923512998
2016,Ford,Focus Electric,Compact,107,A1,B,122,3.504347419,-2.014183023,33.48930723,-1.9984,2.565,2135.671,1.847025995,20,0.923512998
2016,Kia,Soul EV,Station wagon: Small,81,A1,B,149,3.489269007,-2.011762186,33.90320804,-1.9982,2.555,2288.5,1.836177421,22,0.918088711
2016,Mitsubishi,i-MiEV,Subcompact,49,A1,B,100,3.487632203,-2.012365985,33.94744339,-1.9982,2.553,2307.485,1.836177421,22,0.918088711
